xflr5 v6.47

VTOL_SINGLE_W1_FX63137_2020
T1-25.0 m/s-Panel-0.0kg-x0.0m-Inviscid
QInf  =   25.000000 m/s
Alpha =   20.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    2.390595
Cy    =    0.000000
Cd    =    0.156097     ICd   =    0.156097     PCd   =    0.000000
Cl   = 2.87936e-15
Cm   =   -0.764391
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.059476     YCP   =   -0.000000     ZCP   =    0.013224  
XNP   =    0.000000
Bending =   89.889536

Main Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z       Nx      Ny       Nz        Area       Cp
Main WingCp Coefficients
Strip 1
 252       1.711e-01      -8.280e-01       8.050e-04           0.417          -0.042           0.908       2.125e-04          0.2378
Strip 12
 253       1.769e-01      -7.709e-01       6.368e-04          -0.332           0.034          -0.943       2.271e-04          0.5340
 254       1.698e-01      -7.709e-01       2.403e-03          -0.209           0.022          -0.978       6.392e-04          0.5377
 255       1.562e-01      -7.709e-01       4.206e-03          -0.080           0.010          -0.997       9.885e-04          0.5812
 256       1.371e-01      -7.709e-01       4.626e-03           0.024           0.001          -1.000       1.266e-03          0.5819
 257       1.142e-01      -7.709e-01       3.239e-03           0.093          -0.004          -0.996       1.450e-03          0.5779
 258       8.932e-02      -7.709e-01       5.561e-04           0.121          -0.006          -0.993       1.516e-03          0.5916
 259       6.439e-02      -7.709e-01      -2.109e-03           0.091          -0.005          -0.996       1.450e-03          0.6563
 260       4.149e-02      -7.709e-01      -3.639e-03           0.038          -0.003          -0.999       1.267e-03          0.7893
 261       2.246e-02      -7.709e-01      -3.889e-03          -0.019          -0.002          -1.000       9.854e-04          0.9590
 262       8.848e-03      -7.709e-01      -3.064e-03          -0.125          -0.001          -0.992       6.299e-04          0.7963
 263       1.755e-03      -7.709e-01      -9.652e-04          -0.621           0.000          -0.784       2.732e-04         -2.6414
 264       1.755e-03      -7.709e-01       3.726e-03          -0.874          -0.000           0.486       4.406e-04        -10.4518
 265       8.848e-03      -7.709e-01       1.005e-02          -0.502          -0.002           0.865       7.227e-04         -5.9341
 266       2.246e-02      -7.709e-01       1.568e-02          -0.294          -0.005           0.956       1.031e-03         -3.6909
 267       4.149e-02      -7.709e-01       1.975e-02          -0.140          -0.008           0.990       1.278e-03         -2.6538
 268       6.439e-02      -7.709e-01       2.140e-02          -0.012          -0.012           1.000       1.444e-03         -1.9319
 269       8.932e-02      -7.709e-01       2.036e-02           0.092          -0.016           0.996       1.511e-03         -1.3490
 270       1.142e-01      -7.709e-01       1.694e-02           0.180          -0.021           0.983       1.468e-03         -0.8412
 271       1.371e-01      -7.709e-01       1.216e-02           0.231          -0.025           0.973       1.301e-03         -0.4541
 272       1.562e-01      -7.709e-01       7.378e-03           0.259          -0.027           0.965       1.021e-03         -0.2116
 273       1.698e-01      -7.709e-01       3.402e-03           0.312          -0.032           0.949       6.582e-04          0.0129
 274       1.769e-01      -7.709e-01       8.320e-04           0.417          -0.042           0.908       2.359e-04          0.2408
Strip 13
 275       1.830e-01      -7.098e-01       6.589e-04          -0.332           0.034          -0.943       2.500e-04          0.5364
 276       1.757e-01      -7.098e-01       2.487e-03          -0.209           0.022          -0.978       7.037e-04          0.5405
 277       1.616e-01      -7.098e-01       4.351e-03          -0.080           0.010          -0.997       1.088e-03          0.5844
 278       1.419e-01      -7.098e-01       4.787e-03           0.024           0.001          -1.000       1.394e-03          0.5858
 279       1.182e-01      -7.098e-01       3.351e-03           0.093          -0.004          -0.996       1.596e-03          0.5829
 280       9.241e-02      -7.098e-01       5.754e-04           0.121          -0.006          -0.993       1.668e-03          0.5981
 281       6.663e-02      -7.098e-01      -2.183e-03           0.091          -0.005          -0.996       1.596e-03          0.6640
 282       4.293e-02      -7.098e-01      -3.765e-03           0.038          -0.003          -0.999       1.394e-03          0.7971
 283       2.324e-02      -7.098e-01      -4.024e-03          -0.019          -0.002          -1.000       1.085e-03          0.9637
 284       9.155e-03      -7.098e-01      -3.170e-03          -0.125          -0.001          -0.992       6.934e-04          0.7780
 285       1.816e-03      -7.098e-01      -9.987e-04          -0.621           0.000          -0.784       3.008e-04         -2.7763
 286       1.816e-03      -7.098e-01       3.855e-03          -0.874          -0.000           0.486       4.850e-04        -10.6963
 287       9.155e-03      -7.098e-01       1.040e-02          -0.502          -0.002           0.865       7.956e-04         -6.0379
 288       2.324e-02      -7.098e-01       1.622e-02          -0.294          -0.005           0.956       1.135e-03         -3.7467
 289       4.293e-02      -7.098e-01       2.044e-02          -0.140          -0.008           0.990       1.407e-03         -2.6910
 290       6.663e-02      -7.098e-01       2.214e-02          -0.012          -0.012           1.000       1.589e-03         -1.9579
 291       9.241e-02      -7.098e-01       2.107e-02           0.092          -0.016           0.996       1.663e-03         -1.3669
 292       1.182e-01      -7.098e-01       1.753e-02           0.180          -0.021           0.983       1.616e-03         -0.8523
 293       1.419e-01      -7.098e-01       1.258e-02           0.231          -0.025           0.973       1.432e-03         -0.4602
 294       1.616e-01      -7.098e-01       7.634e-03           0.259          -0.027           0.965       1.123e-03         -0.2142
 295       1.757e-01      -7.098e-01       3.520e-03           0.312          -0.032           0.949       7.246e-04          0.0133
 296       1.830e-01      -7.098e-01       8.608e-04           0.417          -0.042           0.908       2.596e-04          0.2431
Strip 14
 297       1.895e-01      -6.452e-01       6.823e-04          -0.332           0.034          -0.943       2.731e-04          0.5380
 298       1.819e-01      -6.452e-01       2.575e-03          -0.209           0.022          -0.978       7.687e-04          0.5423
 299       1.673e-01      -6.452e-01       4.506e-03          -0.080           0.010          -0.997       1.189e-03          0.5864
 300       1.469e-01      -6.452e-01       4.957e-03           0.024           0.001          -1.000       1.522e-03          0.5882
 301       1.224e-01      -6.452e-01       3.470e-03           0.093          -0.004          -0.996       1.743e-03          0.5861
 302       9.570e-02      -6.452e-01       5.959e-04           0.121          -0.006          -0.993       1.822e-03          0.6022
 303       6.899e-02      -6.452e-01      -2.260e-03           0.091          -0.005          -0.996       1.743e-03          0.6690
 304       4.445e-02      -6.452e-01      -3.899e-03           0.038          -0.003          -0.999       1.523e-03          0.8020
 305       2.407e-02      -6.452e-01      -4.167e-03          -0.019          -0.002          -1.000       1.185e-03          0.9666
 306       9.481e-03      -6.452e-01      -3.283e-03          -0.125          -0.001          -0.992       7.574e-04          0.7659
 307       1.880e-03      -6.452e-01      -1.034e-03          -0.621           0.000          -0.784       3.286e-04         -2.8630
 308       1.880e-03      -6.452e-01       3.992e-03          -0.874          -0.000           0.486       5.298e-04        -10.8522
 309       9.481e-03      -6.452e-01       1.077e-02          -0.502          -0.002           0.865       8.691e-04         -6.1039
 310       2.407e-02      -6.452e-01       1.680e-02          -0.294          -0.005           0.956       1.240e-03         -3.7822
 311       4.445e-02      -6.452e-01       2.116e-02          -0.140          -0.008           0.990       1.537e-03         -2.7146
 312       6.899e-02      -6.452e-01       2.293e-02          -0.012          -0.012           1.000       1.736e-03         -1.9745
 313       9.570e-02      -6.452e-01       2.182e-02           0.092          -0.016           0.996       1.817e-03         -1.3781
 314       1.224e-01      -6.452e-01       1.815e-02           0.180          -0.021           0.983       1.765e-03         -0.8593
 315       1.469e-01      -6.452e-01       1.303e-02           0.231          -0.025           0.973       1.565e-03         -0.4639
 316       1.673e-01      -6.452e-01       7.905e-03           0.259          -0.027           0.965       1.227e-03         -0.2156
 317       1.819e-01      -6.452e-01       3.645e-03           0.312          -0.032           0.949       7.915e-04          0.0138
 318       1.895e-01      -6.452e-01       8.914e-04           0.417          -0.042           0.908       2.836e-04          0.2447
Strip 15
 319       1.963e-01      -5.773e-01       7.069e-04          -0.332           0.034          -0.943       2.962e-04          0.5390
 320       1.885e-01      -5.773e-01       2.668e-03          -0.209           0.022          -0.978       8.338e-04          0.5435
 321       1.734e-01      -5.773e-01       4.668e-03          -0.080           0.010          -0.997       1.289e-03          0.5877
 322       1.522e-01      -5.773e-01       5.135e-03           0.024           0.001          -1.000       1.651e-03          0.5897
 323       1.268e-01      -5.773e-01       3.595e-03           0.093          -0.004          -0.996       1.891e-03          0.5879
 324       9.915e-02      -5.773e-01       6.173e-04           0.121          -0.006          -0.993       1.977e-03          0.6046
 325       7.148e-02      -5.773e-01      -2.342e-03           0.091          -0.005          -0.996       1.891e-03          0.6717
 326       4.606e-02      -5.773e-01      -4.039e-03           0.038          -0.003          -0.999       1.652e-03          0.8047
 327       2.493e-02      -5.773e-01      -4.317e-03          -0.019          -0.002          -1.000       1.285e-03          0.9681
 328       9.822e-03      -5.773e-01      -3.401e-03          -0.125          -0.001          -0.992       8.216e-04          0.7596
 329       1.948e-03      -5.773e-01      -1.071e-03          -0.621           0.000          -0.784       3.564e-04         -2.9073
 330       1.948e-03      -5.773e-01       4.136e-03          -0.874          -0.000           0.486       5.747e-04        -10.9315
 331       9.822e-03      -5.773e-01       1.116e-02          -0.502          -0.002           0.865       9.428e-04         -6.1374
 332       2.493e-02      -5.773e-01       1.741e-02          -0.294          -0.005           0.956       1.345e-03         -3.8003
 333       4.606e-02      -5.773e-01       2.193e-02          -0.140          -0.008           0.990       1.667e-03         -2.7268
 334       7.148e-02      -5.773e-01       2.376e-02          -0.012          -0.012           1.000       1.883e-03         -1.9831
 335       9.915e-02      -5.773e-01       2.260e-02           0.092          -0.016           0.996       1.971e-03         -1.3840
 336       1.268e-01      -5.773e-01       1.881e-02           0.180          -0.021           0.983       1.915e-03         -0.8628
 337       1.522e-01      -5.773e-01       1.350e-02           0.231          -0.025           0.973       1.697e-03         -0.4656
 338       1.734e-01      -5.773e-01       8.190e-03           0.259          -0.027           0.965       1.331e-03         -0.2161
 339       1.885e-01      -5.773e-01       3.776e-03           0.312          -0.032           0.949       8.586e-04          0.0144
 340       1.963e-01      -5.773e-01       9.236e-04           0.417          -0.042           0.908       3.076e-04          0.2460
Strip 16
 341       2.035e-01      -5.064e-01       7.325e-04          -0.332           0.034          -0.943       3.192e-04          0.5397
 342       1.953e-01      -5.064e-01       2.765e-03          -0.209           0.022          -0.978       8.985e-04          0.5441
 343       1.797e-01      -5.064e-01       4.838e-03          -0.080           0.010          -0.997       1.389e-03          0.5883
 344       1.578e-01      -5.064e-01       5.322e-03           0.024           0.001          -1.000       1.779e-03          0.5903
 345       1.314e-01      -5.064e-01       3.726e-03           0.093          -0.004          -0.996       2.038e-03          0.5886
 346       1.027e-01      -5.064e-01       6.397e-04           0.121          -0.006          -0.993       2.130e-03          0.6054
 347       7.408e-02      -5.064e-01      -2.427e-03           0.091          -0.005          -0.996       2.037e-03          0.6726
 348       4.773e-02      -5.064e-01      -4.186e-03           0.038          -0.003          -0.999       1.780e-03          0.8055
 349       2.584e-02      -5.064e-01      -4.473e-03          -0.019          -0.002          -1.000       1.385e-03          0.9685
 350       1.018e-02      -5.064e-01      -3.525e-03          -0.125          -0.001          -0.992       8.853e-04          0.7585
 351       2.019e-03      -5.064e-01      -1.110e-03          -0.621           0.000          -0.784       3.840e-04         -2.9146
 352       2.019e-03      -5.064e-01       4.286e-03          -0.874          -0.000           0.486       6.193e-04        -10.9435
 353       1.018e-02      -5.064e-01       1.156e-02          -0.502          -0.002           0.865       1.016e-03         -6.1424
 354       2.584e-02      -5.064e-01       1.804e-02          -0.294          -0.005           0.956       1.449e-03         -3.8034
 355       4.773e-02      -5.064e-01       2.272e-02          -0.140          -0.008           0.990       1.797e-03         -2.7292
 356       7.408e-02      -5.064e-01       2.462e-02          -0.012          -0.012           1.000       2.029e-03         -1.9849
 357       1.027e-01      -5.064e-01       2.342e-02           0.092          -0.016           0.996       2.124e-03         -1.3852
 358       1.314e-01      -5.064e-01       1.949e-02           0.180          -0.021           0.983       2.063e-03         -0.8634
 359       1.578e-01      -5.064e-01       1.399e-02           0.231          -0.025           0.973       1.829e-03         -0.4656
 360       1.797e-01      -5.064e-01       8.487e-03           0.259          -0.027           0.965       1.434e-03         -0.2156
 361       1.953e-01      -5.064e-01       3.913e-03           0.312          -0.032           0.949       9.252e-04          0.0153
 362       2.035e-01      -5.064e-01       9.571e-04           0.417          -0.042           0.908       3.315e-04          0.2472
Strip 17
 363       2.109e-01      -4.329e-01       7.591e-04          -0.332           0.034          -0.943       3.417e-04          0.5400
 364       2.024e-01      -4.329e-01       2.865e-03          -0.209           0.022          -0.978       9.620e-04          0.5444
 365       1.862e-01      -4.329e-01       5.014e-03          -0.080           0.010          -0.997       1.487e-03          0.5884
 366       1.635e-01      -4.329e-01       5.515e-03           0.024           0.001          -1.000       1.905e-03          0.5902
 367       1.362e-01      -4.329e-01       3.861e-03           0.093          -0.004          -0.996       2.182e-03          0.5883
 368       1.065e-01      -4.329e-01       6.630e-04           0.121          -0.006          -0.993       2.281e-03          0.6049
 369       7.677e-02      -4.329e-01      -2.515e-03           0.091          -0.005          -0.996       2.181e-03          0.6718
 370       4.946e-02      -4.329e-01      -4.338e-03           0.038          -0.003          -0.999       1.906e-03          0.8046
 371       2.678e-02      -4.329e-01      -4.636e-03          -0.019          -0.002          -1.000       1.483e-03          0.9679
 372       1.055e-02      -4.329e-01      -3.653e-03          -0.125          -0.001          -0.992       9.479e-04          0.7620
 373       2.092e-03      -4.329e-01      -1.151e-03          -0.621           0.000          -0.784       4.112e-04         -2.8883
 374       2.092e-03      -4.329e-01       4.441e-03          -0.874          -0.000           0.486       6.631e-04        -10.8954
 375       1.055e-02      -4.329e-01       1.198e-02          -0.502          -0.002           0.865       1.088e-03         -6.1221
 376       2.678e-02      -4.329e-01       1.869e-02          -0.294          -0.005           0.956       1.551e-03         -3.7930
 377       4.946e-02      -4.329e-01       2.355e-02          -0.140          -0.008           0.990       1.923e-03         -2.7226
 378       7.677e-02      -4.329e-01       2.551e-02          -0.012          -0.012           1.000       2.173e-03         -1.9805
 379       1.065e-01      -4.329e-01       2.427e-02           0.092          -0.016           0.996       2.274e-03         -1.3821
 380       1.362e-01      -4.329e-01       2.020e-02           0.180          -0.021           0.983       2.209e-03         -0.8611
 381       1.635e-01      -4.329e-01       1.450e-02           0.231          -0.025           0.973       1.958e-03         -0.4639
 382       1.862e-01      -4.329e-01       8.795e-03           0.259          -0.027           0.965       1.536e-03         -0.2143
 383       2.024e-01      -4.329e-01       4.055e-03           0.312          -0.032           0.949       9.905e-04          0.0165
 384       2.109e-01      -4.329e-01       9.918e-04           0.417          -0.042           0.908       3.549e-04          0.2483
Strip 18
 385       2.185e-01      -3.573e-01       7.865e-04          -0.332           0.034          -0.943       3.636e-04          0.5400
 386       2.097e-01      -3.573e-01       2.969e-03          -0.209           0.022          -0.978       1.024e-03          0.5442
 387       1.929e-01      -3.573e-01       5.195e-03          -0.080           0.010          -0.997       1.583e-03          0.5879
 388       1.694e-01      -3.573e-01       5.714e-03           0.024           0.001          -1.000       2.027e-03          0.5895
 389       1.411e-01      -3.573e-01       4.000e-03           0.093          -0.004          -0.996       2.321e-03          0.5872
 390       1.103e-01      -3.573e-01       6.869e-04           0.121          -0.006          -0.993       2.427e-03          0.6032
 391       7.954e-02      -3.573e-01      -2.605e-03           0.091          -0.005          -0.996       2.321e-03          0.6696
 392       5.125e-02      -3.573e-01      -4.494e-03           0.038          -0.003          -0.999       2.028e-03          0.8021
 393       2.774e-02      -3.573e-01      -4.803e-03          -0.019          -0.002          -1.000       1.578e-03          0.9665
 394       1.093e-02      -3.573e-01      -3.785e-03          -0.125          -0.001          -0.992       1.009e-03          0.7697
 395       2.167e-03      -3.573e-01      -1.192e-03          -0.621           0.000          -0.784       4.375e-04         -2.8314
 396       2.167e-03      -3.573e-01       4.602e-03          -0.874          -0.000           0.486       7.055e-04        -10.7920
 397       1.093e-02      -3.573e-01       1.241e-02          -0.502          -0.002           0.865       1.157e-03         -6.0783
 398       2.774e-02      -3.573e-01       1.937e-02          -0.294          -0.005           0.956       1.651e-03         -3.7700
 399       5.125e-02      -3.573e-01       2.440e-02          -0.140          -0.008           0.990       2.047e-03         -2.7078
 400       7.954e-02      -3.573e-01       2.643e-02          -0.012          -0.012           1.000       2.312e-03         -1.9702
 401       1.103e-01      -3.573e-01       2.515e-02           0.092          -0.016           0.996       2.420e-03         -1.3748
 402       1.411e-01      -3.573e-01       2.093e-02           0.180          -0.021           0.983       2.350e-03         -0.8562
 403       1.694e-01      -3.573e-01       1.502e-02           0.231          -0.025           0.973       2.084e-03         -0.4605
 404       1.929e-01      -3.573e-01       9.113e-03           0.259          -0.027           0.965       1.634e-03         -0.2119
 405       2.097e-01      -3.573e-01       4.201e-03           0.312          -0.032           0.949       1.054e-03          0.0180
 406       2.185e-01      -3.573e-01       1.028e-03           0.417          -0.042           0.908       3.777e-04          0.2495
Strip 19
 407       2.263e-01      -2.798e-01       8.146e-04          -0.332           0.034          -0.943       3.846e-04          0.5398
 408       2.172e-01      -2.798e-01       3.074e-03          -0.209           0.022          -0.978       1.083e-03          0.5438
 409       1.998e-01      -2.798e-01       5.380e-03          -0.080           0.010          -0.997       1.674e-03          0.5871
 410       1.754e-01      -2.798e-01       5.918e-03           0.024           0.001          -1.000       2.144e-03          0.5881
 411       1.461e-01      -2.798e-01       4.143e-03           0.093          -0.004          -0.996       2.455e-03          0.5851
 412       1.143e-01      -2.798e-01       7.114e-04           0.121          -0.006          -0.993       2.567e-03          0.6003
 413       8.237e-02      -2.798e-01      -2.698e-03           0.091          -0.005          -0.996       2.455e-03          0.6659
 414       5.307e-02      -2.798e-01      -4.655e-03           0.038          -0.003          -0.999       2.145e-03          0.7982
 415       2.873e-02      -2.798e-01      -4.974e-03          -0.019          -0.002          -1.000       1.669e-03          0.9641
 416       1.132e-02      -2.798e-01      -3.920e-03          -0.125          -0.001          -0.992       1.067e-03          0.7812
 417       2.245e-03      -2.798e-01      -1.235e-03          -0.621           0.000          -0.784       4.627e-04         -2.7463
 418       2.245e-03      -2.798e-01       4.766e-03          -0.874          -0.000           0.486       7.462e-04        -10.6364
 419       1.132e-02      -2.798e-01       1.286e-02          -0.502          -0.002           0.865       1.224e-03         -6.0118
 420       2.873e-02      -2.798e-01       2.006e-02          -0.294          -0.005           0.956       1.746e-03         -3.7346
 421       5.307e-02      -2.798e-01       2.527e-02          -0.140          -0.008           0.990       2.165e-03         -2.6845
 422       8.237e-02      -2.798e-01       2.738e-02          -0.012          -0.012           1.000       2.445e-03         -1.9539
 423       1.143e-01      -2.798e-01       2.605e-02           0.092          -0.016           0.996       2.559e-03         -1.3633
 424       1.461e-01      -2.798e-01       2.167e-02           0.180          -0.021           0.983       2.486e-03         -0.8483
 425       1.754e-01      -2.798e-01       1.556e-02           0.231          -0.025           0.973       2.204e-03         -0.4553
 426       1.998e-01      -2.798e-01       9.438e-03           0.259          -0.027           0.965       1.728e-03         -0.2084
 427       2.172e-01      -2.798e-01       4.351e-03           0.312          -0.032           0.949       1.115e-03          0.0201
 428       2.263e-01      -2.798e-01       1.064e-03           0.417          -0.042           0.908       3.994e-04          0.2508
Strip 20
 429       2.342e-01      -2.009e-01       8.431e-04          -0.332           0.034          -0.943       4.043e-04          0.5393
 430       2.248e-01      -2.009e-01       3.182e-03          -0.209           0.022          -0.978       1.138e-03          0.5429
 431       2.068e-01      -2.009e-01       5.568e-03          -0.080           0.010          -0.997       1.760e-03          0.5857
 432       1.816e-01      -2.009e-01       6.125e-03           0.024           0.001          -1.000       2.254e-03          0.5860
 433       1.513e-01      -2.009e-01       4.288e-03           0.093          -0.004          -0.996       2.581e-03          0.5822
 434       1.183e-01      -2.009e-01       7.363e-04           0.121          -0.006          -0.993       2.698e-03          0.5962
 435       8.526e-02      -2.009e-01      -2.793e-03           0.091          -0.005          -0.996       2.581e-03          0.6607
 436       5.494e-02      -2.009e-01      -4.818e-03           0.038          -0.003          -0.999       2.255e-03          0.7927
 437       2.974e-02      -2.009e-01      -5.149e-03          -0.019          -0.002          -1.000       1.754e-03          0.9607
 438       1.172e-02      -2.009e-01      -4.057e-03          -0.125          -0.001          -0.992       1.121e-03          0.7962
 439       2.323e-03      -2.009e-01      -1.278e-03          -0.621           0.000          -0.784       4.865e-04         -2.6340
 440       2.323e-03      -2.009e-01       4.933e-03          -0.874          -0.000           0.486       7.844e-04        -10.4301
 441       1.172e-02      -2.009e-01       1.331e-02          -0.502          -0.002           0.865       1.287e-03         -5.9230
 442       2.974e-02      -2.009e-01       2.076e-02          -0.294          -0.005           0.956       1.835e-03         -3.6868
 443       5.494e-02      -2.009e-01       2.615e-02          -0.140          -0.008           0.990       2.276e-03         -2.6525
 444       8.526e-02      -2.009e-01       2.834e-02          -0.012          -0.012           1.000       2.570e-03         -1.9308
 445       1.183e-01      -2.009e-01       2.696e-02           0.092          -0.016           0.996       2.690e-03         -1.3465
 446       1.513e-01      -2.009e-01       2.243e-02           0.180          -0.021           0.983       2.613e-03         -0.8365
 447       1.816e-01      -2.009e-01       1.610e-02           0.231          -0.025           0.973       2.317e-03         -0.4475
 448       2.068e-01      -2.009e-01       9.769e-03           0.259          -0.027           0.965       1.817e-03         -0.2033
 449       2.248e-01      -2.009e-01       4.504e-03           0.312          -0.032           0.949       1.172e-03          0.0229
 450       2.342e-01      -2.009e-01       1.102e-03           0.417          -0.042           0.908       4.199e-04          0.2524
Strip 21
 451       2.422e-01      -1.209e-01       8.721e-04          -0.332           0.034          -0.943       4.225e-04          0.5384
 452       2.325e-01      -1.209e-01       3.291e-03          -0.209           0.022          -0.978       1.189e-03          0.5416
 453       2.139e-01      -1.209e-01       5.760e-03          -0.080           0.010          -0.997       1.839e-03          0.5836
 454       1.878e-01      -1.209e-01       6.336e-03           0.024           0.001          -1.000       2.355e-03          0.5832
 455       1.565e-01      -1.209e-01       4.436e-03           0.093          -0.004          -0.996       2.697e-03          0.5781
 456       1.223e-01      -1.209e-01       7.616e-04           0.121          -0.006          -0.993       2.820e-03          0.5907
 457       8.819e-02      -1.209e-01      -2.889e-03           0.091          -0.005          -0.996       2.697e-03          0.6539
 458       5.682e-02      -1.209e-01      -4.983e-03           0.038          -0.003          -0.999       2.356e-03          0.7855
 459       3.076e-02      -1.209e-01      -5.326e-03          -0.019          -0.002          -1.000       1.833e-03          0.9561
 460       1.212e-02      -1.209e-01      -4.196e-03          -0.125          -0.001          -0.992       1.172e-03          0.8142
 461       2.403e-03      -1.209e-01      -1.322e-03          -0.621           0.000          -0.784       5.083e-04         -2.4960
 462       2.403e-03      -1.209e-01       5.102e-03          -0.874          -0.000           0.486       8.197e-04        -10.1751
 463       1.212e-02      -1.209e-01       1.376e-02          -0.502          -0.002           0.865       1.345e-03         -5.8121
 464       3.076e-02      -1.209e-01       2.147e-02          -0.294          -0.005           0.956       1.918e-03         -3.6257
 465       5.682e-02      -1.209e-01       2.705e-02          -0.140          -0.008           0.990       2.378e-03         -2.6101
 466       8.819e-02      -1.209e-01       2.931e-02          -0.012          -0.012           1.000       2.686e-03         -1.8988
 467       1.223e-01      -1.209e-01       2.789e-02           0.092          -0.016           0.996       2.811e-03         -1.3221
 468       1.565e-01      -1.209e-01       2.320e-02           0.180          -0.021           0.983       2.731e-03         -0.8187
 469       1.878e-01      -1.209e-01       1.665e-02           0.231          -0.025           0.973       2.421e-03         -0.4352
 470       2.139e-01      -1.209e-01       1.010e-02           0.259          -0.027           0.965       1.899e-03         -0.1953
 471       2.325e-01      -1.209e-01       4.658e-03           0.312          -0.032           0.949       1.225e-03          0.0272
 472       2.422e-01      -1.209e-01       1.139e-03           0.417          -0.042           0.908       4.388e-04          0.2548
Strip 22
 473       2.503e-01      -4.038e-02       9.012e-04          -0.332           0.034          -0.943       4.389e-04          0.5360
 474       2.403e-01      -4.038e-02       3.402e-03          -0.209           0.022          -0.978       1.235e-03          0.5387
 475       2.210e-01      -4.038e-02       5.952e-03          -0.080           0.010          -0.997       1.910e-03          0.5799
 476       1.941e-01      -4.038e-02       6.547e-03           0.024           0.001          -1.000       2.447e-03          0.5790
 477       1.617e-01      -4.038e-02       4.584e-03           0.093          -0.004          -0.996       2.802e-03          0.5730
 478       1.264e-01      -4.038e-02       7.871e-04           0.121          -0.006          -0.993       2.929e-03          0.5838
 479       9.114e-02      -4.038e-02      -2.985e-03           0.091          -0.005          -0.996       2.801e-03          0.6453
 480       5.872e-02      -4.038e-02      -5.150e-03           0.038          -0.003          -0.999       2.448e-03          0.7765
 481       3.179e-02      -4.038e-02      -5.504e-03          -0.019          -0.002          -1.000       1.904e-03          0.9502
 482       1.252e-02      -4.038e-02      -4.337e-03          -0.125          -0.001          -0.992       1.217e-03          0.8351
 483       2.483e-03      -4.038e-02      -1.366e-03          -0.621           0.000          -0.784       5.280e-04         -2.3344
 484       2.483e-03      -4.038e-02       5.273e-03          -0.874          -0.000           0.486       8.515e-04         -9.8757
 485       1.252e-02      -4.038e-02       1.422e-02          -0.502          -0.002           0.865       1.397e-03         -5.6810
 486       3.179e-02      -4.038e-02       2.219e-02          -0.294          -0.005           0.956       1.992e-03         -3.5510
 487       5.872e-02      -4.038e-02       2.795e-02          -0.140          -0.008           0.990       2.470e-03         -2.5548
 488       9.114e-02      -4.038e-02       3.029e-02          -0.012          -0.012           1.000       2.790e-03         -1.8532
 489       1.264e-01      -4.038e-02       2.882e-02           0.092          -0.016           0.996       2.920e-03         -1.2835
 490       1.617e-01      -4.038e-02       2.398e-02           0.180          -0.021           0.983       2.837e-03         -0.7879
 491       1.941e-01      -4.038e-02       1.721e-02           0.231          -0.025           0.973       2.515e-03         -0.4128
 492       2.210e-01      -4.038e-02       1.044e-02           0.259          -0.027           0.965       1.972e-03         -0.1804
 493       2.403e-01      -4.038e-02       4.814e-03           0.312          -0.032           0.949       1.272e-03          0.0345
 494       2.503e-01      -4.038e-02       1.178e-03           0.417          -0.042           0.908       4.558e-04          0.2586
Strip 23
 495       2.503e-01       4.038e-02       9.012e-04          -0.332          -0.034          -0.943       4.389e-04          0.5360
 496       2.403e-01       4.038e-02       3.402e-03          -0.209          -0.022          -0.978       1.235e-03          0.5387
 497       2.210e-01       4.038e-02       5.952e-03          -0.080          -0.010          -0.997       1.910e-03          0.5799
 498       1.941e-01       4.038e-02       6.547e-03           0.024          -0.001          -1.000       2.447e-03          0.5790
 499       1.617e-01       4.038e-02       4.584e-03           0.093           0.004          -0.996       2.802e-03          0.5730
 500       1.264e-01       4.038e-02       7.871e-04           0.121           0.006          -0.993       2.929e-03          0.5838
 501       9.114e-02       4.038e-02      -2.985e-03           0.091           0.005          -0.996       2.801e-03          0.6453
 502       5.872e-02       4.038e-02      -5.150e-03           0.038           0.003          -0.999       2.448e-03          0.7765
 503       3.179e-02       4.038e-02      -5.504e-03          -0.019           0.002          -1.000       1.904e-03          0.9502
 504       1.252e-02       4.038e-02      -4.337e-03          -0.125           0.001          -0.992       1.217e-03          0.8351
 505       2.483e-03       4.038e-02      -1.366e-03          -0.621          -0.000          -0.784       5.280e-04         -2.3344
 506       2.483e-03       4.038e-02       5.273e-03          -0.874           0.000           0.486       8.515e-04         -9.8757
 507       1.252e-02       4.038e-02       1.422e-02          -0.502           0.002           0.865       1.397e-03         -5.6810
 508       3.179e-02       4.038e-02       2.219e-02          -0.294           0.005           0.956       1.992e-03         -3.5510
 509       5.872e-02       4.038e-02       2.795e-02          -0.140           0.008           0.990       2.470e-03         -2.5548
 510       9.114e-02       4.038e-02       3.029e-02          -0.012           0.012           1.000       2.790e-03         -1.8532
 511       1.264e-01       4.038e-02       2.882e-02           0.092           0.016           0.996       2.920e-03         -1.2835
 512       1.617e-01       4.038e-02       2.398e-02           0.180           0.021           0.983       2.837e-03         -0.7879
 513       1.941e-01       4.038e-02       1.721e-02           0.231           0.025           0.973       2.515e-03         -0.4128
 514       2.210e-01       4.038e-02       1.044e-02           0.259           0.027           0.965       1.972e-03         -0.1804
 515       2.403e-01       4.038e-02       4.814e-03           0.312           0.032           0.949       1.272e-03          0.0345
