xflr5 v6.47

VTOL_SINGLE_W1_FX63137_2020
T1-25.0 m/s-Panel-0.0kg-x0.0m-Inviscid
QInf  =   25.000000 m/s
Alpha =   20.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    2.390595
Cy    =    0.000000
Cd    =    0.156097     ICd   =    0.156097     PCd   =    0.000000
Cl   = 2.87936e-15
Cm   =   -0.764391
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.059476     YCP   =   -0.000000     ZCP   =    0.013224  
XNP   =    0.000000
Bending =   89.889536

Main Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z       Nx      Ny       Nz        Area       Cp
Main WingCp Coefficients
Strip 1
  65       1.413e-03      -1.113e+00      -7.773e-04          -0.621           0.000          -0.784       5.338e-05          0.5996
  66       1.413e-03      -1.113e+00       3.000e-03          -0.874          -0.000           0.486       8.608e-05         -3.2832
  67       7.126e-03      -1.113e+00       8.094e-03          -0.502          -0.002           0.865       1.412e-04         -2.5670
  68       1.809e-02      -1.113e+00       1.263e-02          -0.294          -0.005           0.956       2.014e-04         -1.7013
  69       3.341e-02      -1.113e+00       1.591e-02          -0.140          -0.008           0.990       2.497e-04         -1.2440
  70       5.186e-02      -1.113e+00       1.723e-02          -0.012          -0.012           1.000       2.820e-04         -0.9362
  71       7.193e-02      -1.113e+00       1.640e-02           0.092          -0.016           0.996       2.952e-04         -0.7399
  72       9.200e-02      -1.113e+00       1.365e-02           0.180          -0.021           0.983       2.868e-04         -0.6423
  73       1.104e-01      -1.113e+00       9.793e-03           0.231          -0.025           0.973       2.542e-04         -0.6438
  74       1.258e-01      -1.113e+00       5.941e-03           0.259          -0.027           0.965       1.994e-04         -0.6927
  75       1.367e-01      -1.113e+00       2.739e-03           0.312          -0.032           0.949       1.286e-04         -0.6601
  76       1.424e-01      -1.113e+00       6.700e-04           0.417          -0.042           0.908       4.608e-05         -0.5365
Strip 4
  77       1.442e-01      -1.096e+00       5.190e-04          -0.332           0.034          -0.943       6.255e-05          0.1606
  78       1.384e-01      -1.096e+00       1.959e-03          -0.209           0.022          -0.978       1.761e-04          0.1769
  79       1.273e-01      -1.096e+00       3.428e-03          -0.080           0.010          -0.997       2.722e-04          0.2340
  80       1.118e-01      -1.096e+00       3.771e-03           0.024           0.001          -1.000       3.487e-04          0.2221
  81       9.311e-02      -1.096e+00       2.640e-03           0.093          -0.004          -0.996       3.993e-04          0.1923
  82       7.280e-02      -1.096e+00       4.533e-04           0.121          -0.006          -0.993       4.174e-04          0.1783
  83       5.249e-02      -1.096e+00      -1.719e-03           0.091          -0.005          -0.996       3.992e-04          0.2283
  84       3.382e-02      -1.096e+00      -2.966e-03           0.038          -0.003          -0.999       3.488e-04          0.3765
  85       1.831e-02      -1.096e+00      -3.170e-03          -0.019          -0.002          -1.000       2.714e-04          0.6237
  86       7.212e-03      -1.096e+00      -2.497e-03          -0.125          -0.001          -0.992       1.735e-04          0.9464
  87       1.430e-03      -1.096e+00      -7.867e-04          -0.621           0.000          -0.784       7.525e-05          0.2617
  88       1.430e-03      -1.096e+00       3.037e-03          -0.874          -0.000           0.486       1.214e-04         -4.3410
  89       7.212e-03      -1.096e+00       8.192e-03          -0.502          -0.002           0.865       1.991e-04         -3.1275
  90       1.831e-02      -1.096e+00       1.278e-02          -0.294          -0.005           0.956       2.839e-04         -2.0575
  91       3.382e-02      -1.096e+00       1.610e-02          -0.140          -0.008           0.990       3.520e-04         -1.4910
  92       5.249e-02      -1.096e+00       1.744e-02          -0.012          -0.012           1.000       3.976e-04         -1.0850
  93       7.280e-02      -1.096e+00       1.660e-02           0.092          -0.016           0.996       4.162e-04         -0.7775
  94       9.311e-02      -1.096e+00       1.381e-02           0.180          -0.021           0.983       4.043e-04         -0.5362
  95       1.118e-01      -1.096e+00       9.912e-03           0.231          -0.025           0.973       3.584e-04         -0.3815
  96       1.273e-01      -1.096e+00       6.013e-03           0.259          -0.027           0.965       2.811e-04         -0.3092
  97       1.384e-01      -1.096e+00       2.773e-03           0.312          -0.032           0.949       1.813e-04         -0.2001
  98       1.442e-01      -1.096e+00       6.781e-04           0.417          -0.042           0.908       6.496e-05         -0.0527
Strip 5
  99       1.465e-01      -1.073e+00       5.273e-04          -0.332           0.034          -0.943       8.114e-05          0.3714
 100       1.406e-01      -1.073e+00       1.990e-03          -0.209           0.022          -0.978       2.284e-04          0.3687
 101       1.293e-01      -1.073e+00       3.482e-03          -0.080           0.010          -0.997       3.531e-04          0.4045
 102       1.136e-01      -1.073e+00       3.830e-03           0.024           0.001          -1.000       4.523e-04          0.3855
 103       9.459e-02      -1.073e+00       2.682e-03           0.093          -0.004          -0.996       5.180e-04          0.3492
 104       7.395e-02      -1.073e+00       4.605e-04           0.121          -0.006          -0.993       5.415e-04          0.3253
 105       5.332e-02      -1.073e+00      -1.747e-03           0.091          -0.005          -0.996       5.179e-04          0.3646
 106       3.435e-02      -1.073e+00      -3.013e-03           0.038          -0.003          -0.999       4.525e-04          0.5025
 107       1.860e-02      -1.073e+00      -3.220e-03          -0.019          -0.002          -1.000       3.521e-04          0.7352
 108       7.327e-03      -1.073e+00      -2.537e-03          -0.125          -0.001          -0.992       2.250e-04          0.9871
 109       1.453e-03      -1.073e+00      -7.992e-04          -0.621           0.000          -0.784       9.762e-05         -0.1606
 110       1.453e-03      -1.073e+00       3.085e-03          -0.874          -0.000           0.486       1.574e-04         -5.4251
 111       7.327e-03      -1.073e+00       8.322e-03          -0.502          -0.002           0.865       2.582e-04         -3.6677
 112       1.860e-02      -1.073e+00       1.298e-02          -0.294          -0.005           0.956       3.683e-04         -2.3948
 113       3.435e-02      -1.073e+00       1.635e-02          -0.140          -0.008           0.990       4.567e-04         -1.7382
 114       5.332e-02      -1.073e+00       1.772e-02          -0.012          -0.012           1.000       5.158e-04         -1.2587
 115       7.395e-02      -1.073e+00       1.686e-02           0.092          -0.016           0.996       5.399e-04         -0.8789
 116       9.459e-02      -1.073e+00       1.403e-02           0.180          -0.021           0.983       5.244e-04         -0.5609
 117       1.136e-01      -1.073e+00       1.007e-02           0.231          -0.025           0.973       4.649e-04         -0.3355
 118       1.293e-01      -1.073e+00       6.109e-03           0.259          -0.027           0.965       3.646e-04         -0.2148
 119       1.406e-01      -1.073e+00       2.817e-03           0.312          -0.032           0.949       2.352e-04         -0.0994
 120       1.465e-01      -1.073e+00       6.889e-04           0.417          -0.042           0.908       8.426e-05          0.0571
Strip 6
 121       1.493e-01      -1.045e+00       5.375e-04          -0.332           0.034          -0.943       1.002e-04          0.4487
 122       1.433e-01      -1.045e+00       2.029e-03          -0.209           0.022          -0.978       2.821e-04          0.4452
 123       1.318e-01      -1.045e+00       3.550e-03          -0.080           0.010          -0.997       4.362e-04          0.4808
 124       1.158e-01      -1.045e+00       3.905e-03           0.024           0.001          -1.000       5.587e-04          0.4661
 125       9.642e-02      -1.045e+00       2.734e-03           0.093          -0.004          -0.996       6.398e-04          0.4366
 126       7.539e-02      -1.045e+00       4.694e-04           0.121          -0.006          -0.993       6.689e-04          0.4188
 127       5.435e-02      -1.045e+00      -1.780e-03           0.091          -0.005          -0.996       6.397e-04          0.4596
 128       3.502e-02      -1.045e+00      -3.071e-03           0.038          -0.003          -0.999       5.590e-04          0.5932
 129       1.896e-02      -1.045e+00      -3.282e-03          -0.019          -0.002          -1.000       4.349e-04          0.8119
 130       7.469e-03      -1.045e+00      -2.586e-03          -0.125          -0.001          -0.992       2.780e-04          0.9873
 131       1.481e-03      -1.045e+00      -8.147e-04          -0.621           0.000          -0.784       1.206e-04         -0.6224
 132       1.481e-03      -1.045e+00       3.145e-03          -0.874          -0.000           0.486       1.945e-04         -6.4803
 133       7.469e-03      -1.045e+00       8.483e-03          -0.502          -0.002           0.865       3.190e-04         -4.1702
 134       1.896e-02      -1.045e+00       1.324e-02          -0.294          -0.005           0.956       4.549e-04         -2.6977
 135       3.502e-02      -1.045e+00       1.667e-02          -0.140          -0.008           0.990       5.641e-04         -1.9604
 136       5.435e-02      -1.045e+00       1.806e-02          -0.012          -0.012           1.000       6.371e-04         -1.4244
 137       7.539e-02      -1.045e+00       1.719e-02           0.092          -0.016           0.996       6.669e-04         -0.9915
 138       9.642e-02      -1.045e+00       1.430e-02           0.180          -0.021           0.983       6.478e-04         -0.6202
 139       1.158e-01      -1.045e+00       1.026e-02           0.231          -0.025           0.973       5.743e-04         -0.3462
 140       1.318e-01      -1.045e+00       6.227e-03           0.259          -0.027           0.965       4.504e-04         -0.1865
 141       1.433e-01      -1.045e+00       2.871e-03           0.312          -0.032           0.949       2.905e-04         -0.0331
 142       1.493e-01      -1.045e+00       7.022e-04           0.417          -0.042           0.908       1.041e-04          0.1519
Strip 7
 143       1.527e-01      -1.012e+00       5.496e-04          -0.332           0.034          -0.943       1.199e-04          0.4852
 144       1.465e-01      -1.012e+00       2.074e-03          -0.209           0.022          -0.978       3.374e-04          0.4835
 145       1.348e-01      -1.012e+00       3.630e-03          -0.080           0.010          -0.997       5.218e-04          0.5211
 146       1.184e-01      -1.012e+00       3.993e-03           0.024           0.001          -1.000       6.683e-04          0.5111
 147       9.860e-02      -1.012e+00       2.795e-03           0.093          -0.004          -0.996       7.653e-04          0.4891
 148       7.709e-02      -1.012e+00       4.800e-04           0.121          -0.006          -0.993       8.000e-04          0.4795
 149       5.558e-02      -1.012e+00      -1.821e-03           0.091          -0.005          -0.996       7.652e-04          0.5261
 150       3.581e-02      -1.012e+00      -3.141e-03           0.038          -0.003          -0.999       6.686e-04          0.6584
 151       1.939e-02      -1.012e+00      -3.356e-03          -0.019          -0.002          -1.000       5.202e-04          0.8646
 152       7.637e-03      -1.012e+00      -2.645e-03          -0.125          -0.001          -0.992       3.325e-04          0.9636
 153       1.515e-03      -1.012e+00      -8.331e-04          -0.621           0.000          -0.784       1.442e-04         -1.0829
 154       1.515e-03      -1.012e+00       3.216e-03          -0.874          -0.000           0.486       2.326e-04         -7.4575
 155       7.637e-03      -1.012e+00       8.675e-03          -0.502          -0.002           0.865       3.815e-04         -4.6207
 156       1.939e-02      -1.012e+00       1.353e-02          -0.294          -0.005           0.956       5.441e-04         -2.9606
 157       3.581e-02      -1.012e+00       1.705e-02          -0.140          -0.008           0.990       6.747e-04         -2.1500
 158       5.558e-02      -1.012e+00       1.847e-02          -0.012          -0.012           1.000       7.621e-04         -1.5663
 159       7.709e-02      -1.012e+00       1.757e-02           0.092          -0.016           0.996       7.977e-04         -1.0922
 160       9.860e-02      -1.012e+00       1.462e-02           0.180          -0.021           0.983       7.749e-04         -0.6801
 161       1.184e-01      -1.012e+00       1.050e-02           0.231          -0.025           0.973       6.869e-04         -0.3702
 162       1.348e-01      -1.012e+00       6.368e-03           0.259          -0.027           0.965       5.387e-04         -0.1834
 163       1.465e-01      -1.012e+00       2.936e-03           0.312          -0.032           0.949       3.475e-04         -0.0063
 164       1.527e-01      -1.012e+00       7.181e-04           0.417          -0.042           0.908       1.245e-04          0.1931
Strip 8
 165       1.566e-01      -9.729e-01       5.636e-04          -0.332           0.034          -0.943       1.401e-04          0.5054
 166       1.503e-01      -9.729e-01       2.127e-03          -0.209           0.022          -0.978       3.945e-04          0.5054
 167       1.382e-01      -9.729e-01       3.722e-03          -0.080           0.010          -0.997       6.100e-04          0.5448
 168       1.214e-01      -9.729e-01       4.095e-03           0.024           0.001          -1.000       7.812e-04          0.5385
 169       1.011e-01      -9.729e-01       2.867e-03           0.093          -0.004          -0.996       8.947e-04          0.5226
 170       7.906e-02      -9.729e-01       4.922e-04           0.121          -0.006          -0.993       9.353e-04          0.5207
 171       5.700e-02      -9.729e-01      -1.867e-03           0.091          -0.005          -0.996       8.945e-04          0.5727
 172       3.672e-02      -9.729e-01      -3.221e-03           0.038          -0.003          -0.999       7.816e-04          0.7047
 173       1.988e-02      -9.729e-01      -3.442e-03          -0.019          -0.002          -1.000       6.081e-04          0.9004
 174       7.832e-03      -9.729e-01      -2.712e-03          -0.125          -0.001          -0.992       3.887e-04          0.9280
