         0.0        0.00      0.0000      0.1109      0.0434       3.885      40.806      29.802              
         3.2        0.03      0.0647      0.1100      0.0441       3.946      41.453      29.559              
         6.5        0.05      0.1264      0.1089      0.0447       4.000      42.020      29.251              
         9.7        0.08      0.1852      0.1074      0.0451       4.039      42.431      28.849              
        13.0        0.10      0.2412      0.1056      0.0454       4.066      42.707      28.365              
        16.2        0.13      0.2945      0.1036      0.0456       4.081      42.871      27.820              
        19.4        0.16      0.3453      0.1013      0.0456       4.088      42.938      27.219              
        22.7        0.18      0.3936      0.0989      0.0456       4.082      42.882      26.558              
        25.9        0.21      0.4394      0.0962      0.0454       4.065      42.703      25.839              
        29.2        0.23      0.4829      0.0933      0.0451       4.038      42.412      25.066              
        32.4        0.26      0.5238      0.0902      0.0447       3.999      42.007      24.240              
        35.6        0.29      0.5624      0.0869      0.0441       3.948      41.472      23.356              
        38.9        0.31      0.5984      0.0834      0.0434       3.883      40.789      22.406              
        42.1        0.34      0.6321      0.0796      0.0424       3.799      39.904      21.374              
        45.4        0.36      0.6638      0.0754      0.0413       3.694      38.807      20.268              
        48.6        0.39      0.6933      0.0712      0.0399       3.575      37.548      19.118              
        51.9        0.41      0.7204      0.0668      0.0384       3.443      36.162      17.936              
        55.1        0.44      0.7454      0.0623      0.0368       3.296      34.624      16.724              
        58.3        0.47      0.7684      0.0576      0.0350       3.134      32.925      15.484              
        61.6        0.49      0.7893      0.0529      0.0330       2.957      31.060      14.213              
        64.8        0.52      0.8076      0.0481      0.0309       2.764      29.031      12.913              
        68.1        0.54      0.8228      0.0431      0.0285       2.555      26.841      11.585              
        71.3        0.57      0.8345      0.0381      0.0260       2.330      24.480      10.229              
        74.5        0.60      0.8414      0.0330      0.0234       2.092      21.972       8.855              
        77.8        0.62      0.8423      0.0277      0.0205       1.833      19.258       7.446              
        81.0        0.65      0.8344      0.0223      0.0174       1.554      16.325       6.002              
        84.3        0.67      0.8132      0.0169      0.0140       1.255      13.179       4.541              
        87.5        0.70      0.7638      0.0114      0.0104       0.932       9.785       3.049              
        90.7        0.73      0.6173      0.0057      0.0067       0.601       6.318       1.534              
        94.0        0.75     -0.0052      0.0000      0.0037       0.334       3.507      -0.007              
  
