ALO_plane_DEFINITIVO_body

Right Surface Points
        x()          y()          z()
  Cross Section   1
      -0.38953510       0.02434714      -0.03298301
      -0.38953510       0.02540074      -0.03408410
      -0.38953510       0.02638570      -0.03523385
      -0.38953510       0.02730248      -0.03642963
      -0.38953510       0.02815154      -0.03766880
      -0.38953510       0.02893332      -0.03894872
      -0.38953510       0.02964829      -0.04026675
      -0.38953510       0.03029688      -0.04162026
      -0.38953510       0.03087957      -0.04300661
      -0.38953510       0.03139679      -0.04442316
      -0.38953510       0.03184899      -0.04586728
      -0.38953510       0.03223665      -0.04733633
      -0.38953510       0.03256019      -0.04882766
      -0.38953510       0.03282009      -0.05033865
      -0.38953510       0.03301678      -0.05186666
      -0.38953510       0.03315073      -0.05340904
      -0.38953510       0.03322238      -0.05496317
      -0.38953510       0.03323219      -0.05652640
      -0.38953510       0.03318061      -0.05809610
      -0.38953510       0.03306809      -0.05966963
      -0.38953510       0.03289508      -0.06124436
      -0.38953510       0.03266204      -0.06281764
      -0.38953510       0.03236942      -0.06438684
      -0.38953510       0.03201768      -0.06594932
      -0.38953510       0.03160726      -0.06750245
      -0.38953510       0.03113861      -0.06904359
      -0.38953510       0.03061220      -0.07057009
      -0.38953510       0.03002847      -0.07207933
      -0.38953510       0.02938787      -0.07356867
      -0.38953510       0.02869086      -0.07503547
      -0.38953510       0.02793789      -0.07647708
      -0.38953510       0.02712941      -0.07789088
      -0.38953510       0.02626588      -0.07927423
      -0.38953510       0.02534774      -0.08062449
      -0.38953510       0.02437545      -0.08193903
      -0.38953510       0.02334947      -0.08321520
      -0.38953510       0.02227023      -0.08445037
      -0.38953510       0.02113821      -0.08564190
      -0.38953510       0.01995385      -0.08678715
      -0.38953510       0.01871759      -0.08788349
      -0.38953510       0.01742990      -0.08892829
      -0.38953510       0.01609123      -0.08991889
      -0.38953510       0.01470203      -0.09085267
      -0.38953510       0.01326275      -0.09172700
      -0.38953510       0.01177385      -0.09253922
      -0.38953510       0.01023577      -0.09328671
      -0.38953510       0.00864897      -0.09396682
      -0.38953510       0.00701390      -0.09457692
      -0.38953510       0.00533102      -0.09511438
      -0.38953510       0.00360077      -0.09557656
      -0.38953510       0.00182362      -0.09596081
      -0.38953510       0.00000000      -0.09626450

  Cross Section   4
      -0.37105842       0.00000000      -0.02014775
      -0.37105842       0.00252986      -0.02011492
      -0.37105842       0.00497017      -0.02019476
      -0.37105842       0.00732148      -0.02038392
      -0.37105842       0.00958433      -0.02067905
      -0.37105842       0.01175928      -0.02107677
      -0.37105842       0.01384688      -0.02157374
      -0.37105842       0.01584766      -0.02216660
      -0.37105842       0.01776220      -0.02285200
      -0.37105842       0.01959102      -0.02362657
      -0.37105842       0.02133468      -0.02448696
      -0.37105842       0.02299373      -0.02542981
      -0.37105842       0.02456872      -0.02645177
      -0.37105842       0.02606019      -0.02754947
