Tizona_tandem_MH32_body

Right Surface Points
        x()          y()          z()
  Cross Section   1
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653
       0.00000000       0.00000000      -0.00190653

  Cross Section   2
       0.03392712       0.00000000       0.01966907
       0.03392712       0.00140130       0.01902461
       0.03392712       0.00272770       0.01838134
       0.03392712       0.00398111       0.01773946
       0.03392712       0.00516348       0.01709919
       0.03392712       0.00627673       0.01646072
       0.03392712       0.00732282       0.01582427
       0.03392712       0.00830366       0.01519003
       0.03392712       0.00922119       0.01455823
       0.03392712       0.01007734       0.01392905
       0.03392712       0.01087406       0.01330272
       0.03392712       0.01161327       0.01267943
       0.03392712       0.01229691       0.01205940
       0.03392712       0.01292691       0.01144282
       0.03392712       0.01350520       0.01082991
       0.03392712       0.01403373       0.01022086
       0.03392712       0.01451442       0.00961590
       0.03392712       0.01494921       0.00901522
       0.03392712       0.01534003       0.00841903
