ALO_plane__body

Right Surface Points
        x()          y()          z()
  Cross Section   1
      -0.16312475       0.05783188      -0.02299364
      -0.16312475       0.06047734      -0.02585020
      -0.16312475       0.06297157      -0.02883086
      -0.16312475       0.06531457      -0.03192831
      -0.16312475       0.06750634      -0.03513525
      -0.16312475       0.06954690      -0.03844439
      -0.16312475       0.07143624      -0.04184842
      -0.16312475       0.07317436      -0.04534005
      -0.16312475       0.07476127      -0.04891197
      -0.16312475       0.07619697      -0.05255689
      -0.16312475       0.07748147      -0.05626750
      -0.16312475       0.07861477      -0.06003651
      -0.16312475       0.07959687      -0.06385662
      -0.16312475       0.08042777      -0.06772053
      -0.16312475       0.08110749      -0.07162093
      -0.16312475       0.08163602      -0.07555053
      -0.16312475       0.08201336      -0.07950203
      -0.16312475       0.08223952      -0.08346813
      -0.16312475       0.08231450      -0.08744152
      -0.16312475       0.08223831      -0.09141492
      -0.16312475       0.08201095      -0.09538102
      -0.16312475       0.08163242      -0.09933252
      -0.16312475       0.08110272      -0.10326212
      -0.16312475       0.08042187      -0.10716252
      -0.16312475       0.07958985      -0.11102643
      -0.16312475       0.07860669      -0.11484654
      -0.16312475       0.07747237      -0.11861555
      -0.16312475       0.07618690      -0.12232616
      -0.16312475       0.07475029      -0.12597108
      -0.16312475       0.07316253      -0.12954300
      -0.16312475       0.07142364      -0.13303463
      -0.16312475       0.06953362      -0.13643866
      -0.16312475       0.06749246      -0.13974780
      -0.16312475       0.06530018      -0.14295474
      -0.16312475       0.06295677      -0.14605219
      -0.16312475       0.06046224      -0.14903285
      -0.16312475       0.05781659      -0.15188941
      -0.16312475       0.05501983      -0.15461458
      -0.16312475       0.05207196      -0.15720106
      -0.16312475       0.04897298      -0.15964155
      -0.16312475       0.04572289      -0.16192875
      -0.16312475       0.04232170      -0.16405536
      -0.16312475       0.03876942      -0.16601407
      -0.16312475       0.03506604      -0.16779760
      -0.16312475       0.03121157      -0.16939864
      -0.16312475       0.02720601      -0.17080989
      -0.16312475       0.02304937      -0.17202405
      -0.16312475       0.01874164      -0.17303383
      -0.16312475       0.01428284      -0.17383191
      -0.16312475       0.00967296      -0.17441101
      -0.16312475       0.00491202      -0.17476382
      -0.16312475       0.00000000      -0.17488305

  Cross Section   4
      -0.14103434       0.00000000       0.00000000
      -0.14103434       0.00491025      -0.00012363
      -0.14103434       0.00966932      -0.00048948
      -0.14103434       0.01427721      -0.00108997
      -0.14103434       0.01873393      -0.00191754
      -0.14103434       0.02303947      -0.00296461
      -0.14103434       0.02719385      -0.00422363
      -0.14103434       0.03119707      -0.00568701
      -0.14103434       0.03504913      -0.00734720
      -0.14103434       0.03875004      -0.00919661
      -0.14103434       0.04229980      -0.01122769
      -0.14103434       0.04569842      -0.01343286
      -0.14103434       0.04894590      -0.01580455
      -0.14103434       0.05204225      -0.01833520
      -0.14103434       0.05498747      -0.02101723
      -0.14103434       0.05778157      -0.02384307
