FDA-1 V0.0_scaled_2.2-wing04_DPv1_TOLD_Full_UAV_v3.1_body

Right Surface Points
        x()          y()          z()
        0.238          0.122          0.105
        0.238          0.123          0.099
        0.238          0.123          0.092
        0.238          0.123          0.086
        0.238          0.123          0.079
        0.238          0.123          0.073
        0.238          0.124          0.067
        0.238          0.124          0.060
        0.238          0.124          0.054
        0.238          0.123          0.048
        0.238          0.123          0.042
        0.238          0.121          0.036
        0.238          0.119          0.031
        0.238          0.116          0.026
        0.238          0.112          0.021
        0.238          0.107          0.016
        0.238          0.100          0.012
        0.238          0.092          0.008
        0.238          0.082          0.004
        0.238          0.070          0.001
        0.238          0.056         -0.001
        0.238          0.039         -0.003
        0.238          0.021         -0.005
        0.238          0.000         -0.006

  Cross Section   8
        0.270          0.000          0.166
        0.270          0.022          0.165
        0.270          0.042          0.163
        0.270          0.059          0.160
        0.270          0.074          0.156
        0.270          0.087          0.152
        0.270          0.098          0.148
        0.270          0.107          0.143
        0.270          0.114          0.137
        0.270          0.120          0.131
        0.270          0.125          0.125
        0.270          0.128          0.118
        0.270          0.131          0.111
        0.270          0.133          0.104
        0.270          0.134          0.097
        0.270          0.134          0.089
        0.270          0.134          0.082
        0.270          0.134          0.074
        0.270          0.134          0.066
        0.270          0.134          0.059
        0.270          0.135          0.051
        0.270          0.135          0.044
        0.270          0.134          0.037
        0.270          0.133          0.030
        0.270          0.132          0.023
        0.270          0.129          0.017
        0.270          0.126          0.010
        0.270          0.121          0.004
        0.270          0.115         -0.001
        0.270          0.108         -0.006
        0.270          0.099         -0.011
        0.270          0.088         -0.015
        0.270          0.075         -0.019
        0.270          0.060         -0.022
        0.270          0.043         -0.024
        0.270          0.023         -0.026
        0.270          0.000         -0.027

  Cross Section   9
        0.301          0.000          0.172
        0.301          0.024          0.170
        0.301          0.044          0.168
        0.301          0.063          0.165
        0.301          0.079          0.161
        0.301          0.092          0.156
        0.301          0.104          0.151
        0.301          0.113          0.145
        0.301          0.121          0.139
        0.301          0.128          0.132
        0.301          0.133          0.125
        0.301          0.137          0.118
        0.301          0.139          0.110
        0.301          0.141          0.102
        0.301          0.142          0.093
        0.301          0.143          0.085
        0.301          0.143          0.076
        0.301          0.143          0.067
        0.301          0.143          0.059
        0.301          0.143          0.050
        0.301          0.144          0.041
        0.301          0.143          0.033
        0.301          0.143          0.024
        0.301          0.142          0.016
        0.301          0.140          0.009
        0.301          0.137          0.001
        0.301          0.134         -0.006
        0.301          0.129         -0.013
        0.301          0.122         -0.019
        0.301          0.114         -0.025
        0.301          0.105         -0.030
        0.301          0.093         -0.035
        0.301          0.079         -0.039
        0.301          0.063         -0.043
        0.301          0.045         -0.046
        0.301          0.024         -0.048
        0.301          0.000         -0.049

  Cross Section  10
        0.329          0.000          0.176
        0.329          0.025          0.174
        0.329          0.046          0.172
        0.329          0.065          0.168
        0.329          0.082          0.164
        0.329          0.096          0.159
        0.329          0.108          0.153
        0.329          0.118          0.147
        0.329          0.127          0.140
        0.329          0.134          0.132
        0.329          0.139          0.124
        0.329          0.143          0.116
        0.329          0.146          0.107
        0.329          0.148          0.098
        0.329          0.149          0.089
        0.329          0.150          0.079
        0.329          0.151          0.069
        0.329          0.151          0.060
        0.329          0.151          0.050
        0.329          0.151          0.040
        0.329          0.151          0.030
        0.329          0.151          0.021
        0.329          0.150          0.011
        0.329          0.149          0.002
        0.329          0.147         -0.006
        0.329          0.144         -0.015
        0.329          0.140         -0.023
        0.329          0.134         -0.031
        0.329          0.128         -0.038
        0.329          0.119         -0.044
        0.329          0.109         -0.050
        0.329          0.097         -0.056
        0.329          0.083         -0.060
        0.329          0.066         -0.064
        0.329          0.047         -0.067
        0.329          0.025         -0.070
        0.329          0.000         -0.071

  Cross Section  11
        0.354          0.000          0.178
        0.354          0.025          0.177
        0.354          0.048          0.174
        0.354          0.067          0.170
        0.354          0.084          0.166
        0.354          0.099          0.161
        0.354          0.112          0.154
        0.354          0.122          0.147
        0.354          0.131          0.140
        0.354          0.138          0.132
        0.354          0.144          0.123
        0.354          0.148          0.114
        0.354          0.151          0.104
        0.354          0.154          0.094
        0.354          0.155          0.084
        0.354          0.156          0.073
        0.354          0.156          0.063
        0.354          0.156          0.052
        0.354          0.157          0.041
        0.354          0.157          0.030
        0.354          0.157          0.020
        0.354          0.156          0.009
        0.354          0.156         -0.001
        0.354          0.154         -0.011
        0.354          0.152         -0.021
        0.354          0.149         -0.031
        0.354          0.145         -0.040
        0.354          0.139         -0.048
        0.354          0.132         -0.056
        0.354          0.123         -0.063
        0.354          0.113         -0.070
        0.354          0.100         -0.076
        0.354          0.085         -0.081
        0.354          0.068         -0.085
        0.354          0.048         -0.088
        0.354          0.025         -0.091
        0.354          0.000         -0.092

  Cross Section  12
        0.378          0.000          0.180
        0.378          0.026          0.179
        0.378          0.049          0.176
        0.378          0.069          0.172
        0.378          0.086          0.167
        0.378          0.102          0.161
        0.378          0.115          0.155
        0.378          0.126          0.147
        0.378          0.135          0.139
        0.378          0.142          0.130
        0.378          0.148          0.121
        0.378          0.152          0.111
        0.378          0.156          0.101
        0.378          0.158          0.090
        0.378          0.160          0.079
        0.378          0.161          0.067
        0.378          0.161          0.056
        0.378          0.161          0.044
        0.378          0.161          0.033
        0.378          0.161          0.021
        0.378          0.161          0.009
        0.378          0.161         -0.002
        0.378          0.160         -0.013
        0.378          0.159         -0.024
        0.378          0.156         -0.035
        0.378          0.153         -0.045
        0.378          0.148         -0.055
        0.378          0.143         -0.064
        0.378          0.135         -0.073
        0.378          0.126         -0.080
        0.378          0.115         -0.088
        0.378          0.102         -0.094
        0.378          0.087         -0.100
        0.378          0.069         -0.104
        0.378          0.049         -0.108
        0.378          0.026         -0.110
        0.378          0.000         -0.112

  Cross Section  13
        0.398          0.000          0.181
        0.398          0.026          0.180
        0.398          0.050          0.177
        0.398          0.070          0.173
        0.398          0.088          0.168
        0.398          0.104          0.162
        0.398          0.117          0.155
        0.398          0.128          0.147
        0.398          0.137          0.139
        0.398          0.145          0.129
        0.398          0.151          0.119
        0.398          0.156          0.109
        0.398          0.159          0.098
        0.398          0.162          0.086
        0.398          0.163          0.074
        0.398          0.164          0.062
        0.398          0.165          0.050
        0.398          0.165          0.038
        0.398          0.165          0.025
        0.398          0.165          0.013
        0.398          0.165          0.000
        0.398          0.165         -0.012
        0.398          0.164         -0.024
        0.398          0.162         -0.036
        0.398          0.160         -0.047
        0.398          0.156         -0.058
        0.398          0.152         -0.068
        0.398          0.146         -0.078
        0.398          0.138         -0.087
        0.398          0.129         -0.096
        0.398          0.117         -0.103
        0.398          0.104         -0.110
        0.398          0.088         -0.116
        0.398          0.070         -0.121
        0.398          0.050         -0.125
        0.398          0.026         -0.127
        0.398          0.000         -0.129

  Cross Section  14
        0.416          0.000          0.183
        0.416          0.027          0.181
        0.416          0.050          0.178
        0.416          0.071          0.174
        0.416          0.089          0.169
